Plot	SubPlot	TreeFieldNum	Genus	Species	SpeciesLong	Bark	Dawkins	DBH	SLA	LDMC	LT	LA	CC
4	2	3443	Symphonia	sp.1	S sp.1	S	1A	11.30000095952458	130.86880000000002	0.3514	251	31.687	82.1102
4	2	3487	Symphonia	sp.1	S sp.1	S	1A	10.345071300973208	143.63	0.31980000000000003	240.8	21.644	60.8828
4	2	3514	Symphonia	sp.1	S sp.1	S	1A	10.185916357881313	92.1784	0.4044	286.8	25.5738	85.0244
4	4	29	Symphonia	sp.1	S sp.1	SG	5A	22.918311805232953	65.1424	0.40800000000000003	404.8	13.992	89.2362
4	4	390	Symphonia	globulifera	S globulifera	G	5A	69.07324530188265	104.8026	0.355	287.2	48.5708	58.1118
4	4	436	Symphonia	sp.1	S sp.1	SG	5B	51.92430018373091	66.393	0.425	369.4	11.8072	75.9494
4	4	693	Symphonia	globulifera	S globulifera	G	5A	51.24789167559035	64.4422	0.363	466.4	37.74	87.4212
4	4	2258	Symphonia	sp.1	S sp.1	S	3A	36.76479185422786	107.1616	0.3706	269.4	16.1254	90.2576
4	4	3403	Symphonia	globulifera	S globulifera	G	1A	11.459155902616477	167.5472	0.2642	255.6	60.2156	61.51
5	1	436	Symphonia	Indet.	S Indet.	S	5B	35.3323973664008	77.3428	0.364	395.6	12.4138	79.1814
5	1	611	Symphonia	Indet.	S Indet.	S	1A	23.873241463784325	80.663	0.3674	330	18.9476	65.9654
5	1	892	Symphonia	Indet.	S Indet.	SG	3B	28.488734813449295	107.244	0.3326	310	13.7376	82.361
5	1	972	Symphonia	Indet.	S Indet.	S	5B	26.419720553254653	108.888	0.3634	282.2	19.1356	85.5618
5	1	2360	Symphonia	Indet.	S Indet.	S	2A	21.326762374313997	135.999	0.33240000000000003	233	17.2598	76.6802
5	2	88	Symphonia	Indet.	S Indet.	S	4A	31.512678732195308	105.82939999999999	0.3424	292.8	17.771	77.0474
5	2	931	Symphonia	globulifera	S globulifera	G	4A	37.08310174041165	77.904	0.366	381.6	30.951	67.6148
5	2	940	Symphonia	globulifera	S globulifera	G	4A	25.78310078088707	115.4258	0.3104	285	43.074	71.3808
5	2	2650	Symphonia	Indet.	S Indet.	S	1A	19.09859317102746	129.5972	0.3336	256.4	32.5438	66.1258
5	2	2911	Symphonia	Indet.	S Indet.	S	1A	16.870423967740923	96.9756	0.35559999999999997	319.8	16.0206	89.9604
5	2	2952	Symphonia	globulifera	S globulifera	G	2B	20.371832715762626	114.9208	0.305	349.2	57.308	67.4306
5	2	2959	Symphonia	Indet.	S Indet.	S	1B	15.278874536821968	124.7172	0.36619999999999997	230.6	29.0546	67.4992
5	2	3092	Symphonia	Indet.	S Indet.	S	1A	11.777465788800267	149.3008	0.3318	234.2	41.189	66.4164
5	3	189	Symphonia	Indet.	S Indet.	S	1B	23.71408652069243	79.9392	0.3846	358	11.6398	95.8064
5	3	265	Symphonia	Indet.	S Indet.	S	3A	27.374650211806024	69.9438	0.3904	399.4	17.0066	81.1018
5	3	329	Symphonia	Indet.	S Indet.	S	3A	28.96619964272498	117.0498	0.3292	272.4	18.7788	81.1766
5	3	395	Symphonia	globulifera	S globulifera	G	4A	31.8309886183791	67.3514	0.3718	447.6	25.8294	94.2684
5	3	397	Symphonia	globulifera	S globulifera	G	1B	15.119719593730073	76.844	0.3584	419	24.8782	75.7462
5	3	398	Symphonia	globulifera	S globulifera	G	5A	29.761974358184457	80.968	0.3858	369.6	33.4082	77.44200000000001
5	3	520	Symphonia	Indet.	S Indet.	S	5A	40.90282037461714	59.093599999999995	0.45	398.6	7.890199999999999	88.2814
5	3	583	Symphonia	Indet.	S Indet.	S	4B	25.942255723978967	69.6346	0.4274	364.8	11.2904	87.65559999999999
5	3	877	Symphonia	Indet.	S Indet.	S	2B	34.218312764757535	102.4126	0.3438	312.4	21.9562	88.0494
5	3	2202	Symphonia	Indet.	S Indet.	S	4B	33.104228163114264	90.1576	0.365	333.4	16.676199999999998	93.097
5	3	2884	Symphonia	Indet.	S Indet.	S	3B	18.46197339865988	78.974	0.3776	367.8	12.541	85.3216
5	4	471	Symphonia	globulifera	S globulifera	G	5B	45.04084889500643	54.4764	0.401	504.4	21.04	95.3818
5	4	626	Symphonia	globulifera	S globulifera	G	4A	45.20000383809832	80.9298	0.348	365.4	32.3494	71.2812
5	4	658	Symphonia	globulifera	S globulifera	G	5A	49.17887741539571	79.3192	0.3536	402	34.6764	74.955
5	4	784	Symphonia	globulifera	S globulifera	G	4A	39.78873577297387	79.6252	0.3568	394.6	22.6498	80.0714
5	4	1093	Symphonia	Indet.	S Indet.	SG	4A	38.9929610575144	76.8516	0.357	401.2	15.308	67.18260000000001
5	4	1094	Symphonia	Indet.	S Indet.	S	2B	21.485917317405892	72.1552	0.3644	387	14.76	81.1254
5	4	2875	Symphonia	Indet.	S Indet.	S	2A	21.963382146681578	89.3516	0.3616	345.4	11.7122	86.85340000000001
5	4	2913	Symphonia	Indet.	S Indet.	S	1B	17.507043740108504	135.069	0.3264	264.2	25.7216	73.9364
5	4	2947	Symphonia	Indet.	S Indet.	S	2B	18.78028328484367	139.5984	0.3134	255.8	14.8614	62.6864
5	4	3036	Symphonia	Indet.	S Indet.	S	1A	11.140846016432684	113.591	0.3312	303.4	20.1274	72.7384
6	1	25	Eschweilera	sagotiana	E sagotiana	NA	4B	37.71972151277923	58.1682	0.4836	385.2	38.132	91.1938
